"","Dim 1","Dim 2"
"21",0.597630941753947,0.0357245133727412
"71",-0.334304031930767,-0.132924957400813
"50",-0.353602840728255,0.333002642646996
"14",-0.271791013650304,-0.246016243365521
"74",-0.239546734510481,-0.289001750184588
"9",-0.252710081868343,0.462446978150407
"32",-0.125162688716732,-0.118421699143351
"20",-0.245153389033149,-0.349896155230179
"168",-0.285788909845095,0.11772275590614
"152",-0.395724456046517,-0.17593680260219
"202",0.321864404966572,0.164309844784412
"175",0.352568623976379,-0.20700120595473
"187",-0.42386784521513,0.0964786532664658
"194",0.236769293567312,-0.348319003276283
"193",0.455965693345963,0.17214195411185
"47",-0.353927768396933,0.303018978987385
"159",0.318417909449418,0.120854424638591
"80",0.511858483303861,-0.007233773557226
"192",0.486504409578255,0.0690508448498903
